foveola: {{en-noun|s|foveolae|foveolæ}}
frank: {{en-adj|er}}
frank: {{en-noun}}
frank: {{en-verb}}
frank: {{en-noun}}
frank: {{en-noun}}
frank: {{en-noun}}
frank: {{en-verb}}
frank: {{en-noun}}
frank: {{en-adj|er}}
frank: {{en-noun}}
frank: {{en-verb}}
frank: {{en-noun}}
frank: {{en-noun}}
frank: {{en-noun}}
frank: {{en-verb}}
frank: {{en-noun}}
frank: {{en-adj|er}}
frank: {{en-noun}}
frank: {{en-verb}}
frank: {{en-noun}}
frank: {{en-noun}}
frank: {{en-noun}}
frank: {{en-verb}}
frank: {{en-noun}}
frankable: {{en-adj|-}}
franker: {{en-comparative of|frank}}
franker: {{en-noun}}
frankest: {{en-superlative of|frank}}
frankfurt: {{en-noun}}
frankfurter: {{en-noun}}
frankincense: {{en-noun|~}}
franking: {{en-noun|~}}
franklin: {{en-noun}}
franklinite: {{en-noun|~}}
frankly: {{en-adv|er|more}}
frankness: {{en-noun|~}}
frankpledge: {{en-noun}}
frantic: {{en-adj}}
frantic: {{en-noun}}
frantically: {{en-adv}}
franticness: {{en-noun|-}}
frap: {{en-verb}}
frap: {{en-noun}}
frappe: {{en-noun}}
frapping: {{en-noun|~}}
frass: {{en-noun|~}}
frass: {{en-adj|er}}
frass: {{en-noun|-}}
frat: {{en-noun}}
frater: {{en-noun}}
fraternal: {{en-adj}}
fraternal: {{en-noun}}
fraternalism: {{en-noun|-|s}}
fraternally: {{en-adv}}
fraternity: {{en-noun|~}}
fraternization: {{en-noun|~}}
fraternize: {{en-verb}}
fraternizer: {{en-noun}}
fratricidal: {{en-adj}}
fratricide: {{en-noun|~}}
fratricide: {{en-noun}}
fraud: {{en-noun|~}}
fraud: {{en-verb}}
fraudulence: {{en-noun|~}}
fraudulent: {{en-adj}}
fraudulently: {{en-adv}}
fraudulentness: {{en-noun|-}}
fraught: {{en-noun|-|s}}
fraught: {{en-verb|||fraught|past2=fraughted}}
fraught: {{en-adj}}
fraulein: {{en-noun}}
fraxinella: {{en-noun}}
fray: {{en-verb}}
fray: {{en-conj-simple}}
fray: {{en-noun}}
fray: {{en-verb}}
fray: {{en-conj-simple}}
fray: {{en-noun|~}}
fray: {{en-verb}}
fray: {{en-verb}}
fray: {{en-conj-simple}}
fray: {{en-noun}}
fray: {{en-verb}}
fray: {{en-conj-simple}}
fray: {{en-noun|~}}
fray: {{en-verb}}
frayed: {{en-adj}}
frayed: {{en-adj}}
fraying: {{en-noun}}
frazil: {{en-noun|~}}
frazil: {{en-noun}}
frazzle: {{en-verb}}
frazzle: {{en-noun}}
frazzle: {{en-verb}}
frazzle: {{en-noun}}
frazzled: {{en-adj}}
freak: {{en-noun}}
freak: {{en-verb}}
freak: {{en-adj|-}}
freak: {{en-noun}}
freak: {{en-noun}}
freak: {{en-verb}}
freak: {{en-adj|-}}
freak: {{en-noun}}
freakier: {{en-comparative of|freaky}}
freakiest: {{en-superlative of|freaky}}
freakily: {{en-adv}}
freakiness: {{en-noun|-|+}}
freaking: {{en-adj|-}}
freaking: {{en-adv|-}}
freaking: {{en-noun}}
freakish: {{en-adj}}
freakishly: {{en-adv}}
freakishness: {{en-noun|-|+}}
freakout: {{en-noun}}
freaky: {{en-adj|er}}
freckle: {{en-noun}}
freckle: {{en-verb}}
freckle: {{en-noun}}
freckle: {{en-verb}}
freckled: {{en-adj}}
frecklier: {{en-comparative of|freckly}}
freckliest: {{en-superlative of|freckly}}
freckling: {{en-noun}}
freckly: {{en-adj|er}}
freckly: {{en-adv}}
free: {{en-adj|er|free-er|comp3_qual=rare|freeër|sup2=free-est|sup3_qual=rare|sup3=freeëst}}
free: {{en-adv}}
free: {{en-verb}}
free: {{en-noun}}
free: {{en-adj|er|free-er|comp3_qual=rare|freeër|sup2=free-est|sup3_qual=rare|sup3=freeëst}}
free: {{en-adv}}
free: {{en-verb}}
free: {{en-noun}}
free: {{en-adj|er|free-er|comp3_qual=rare|freeër|sup2=free-est|sup3_qual=rare|sup3=freeëst}}
free: {{en-adv}}
free: {{en-verb}}
free: {{en-noun}}
free: {{en-adj|er|free-er|comp3_qual=rare|freeër|sup2=free-est|sup3_qual=rare|sup3=freeëst}}
free: {{en-adv}}
free: {{en-verb}}
free: {{en-noun}}
freebase: {{en-noun|~}}
freebase: {{en-verb}}
freebaser: {{en-noun}}
freebee: {{en-noun}}
freebie: {{en-noun}}
freeboard: {{en-noun}}
freeboard: {{en-noun}}
freeboot: {{en-verb}}
freebooter: {{en-noun}}
freebooting: {{en-noun|-}}
freebooting: {{en-adj|-}}
freeborn: {{en-adj|-}}
freedman: {{en-noun|freedmen}}
freedom: {{en-noun|~}}
freedwoman: {{en-noun|freedwomen}}
freeform: {{en-adj}}
freeform: {{en-noun}}
freeform: {{en-adj}}
freeform: {{en-noun}}
freehand: {{en-adj|-}}
freehand: {{en-adv|-}}
freehand: {{en-verb}}
freehanded: {{en-adj}}
freehanded: {{en-adv}}
freehandedly: {{en-adv}}
freehandedness: {{en-noun|-}}
freehearted: {{en-adj}}
freeheartedly: {{en-adv}}
freehold: {{en-adj|-}}
freehold: {{en-noun|~}}
freehold: {{en-verb}}
freeholder: {{en-noun}}
freeing: {{en-noun|~}}
freeing: {{en-noun|~}}
freeing: {{en-noun|~}}
freelance: {{en-noun}}
freelance: {{en-adj}}
freelance: {{en-verb}}
freelance: {{en-noun}}
freelance: {{en-adj}}
freelance: {{en-verb}}
freelance: {{en-noun}}
freelance: {{en-adj}}
freelance: {{en-verb}}
freelancer: {{en-noun}}
freelancing: {{en-noun|-}}
freeload: {{en-verb}}
freeloader: {{en-noun}}
freeloading: {{en-noun|-}}
freely: {{en-adj|er|more}}
freely: {{en-adv|er|more}}
freeman: {{en-noun|freemen}}
freemartin: {{en-noun}}
freemasonry: {{en-noun|~}}
freeness: {{en-noun|-|+}}
freer: {{en-noun}}
freer: {{en-comparative of|free}}
freesia: {{en-noun}}
freest: {{en-superlative of|free}}
freestanding: {{en-adj|-}}
freestone: {{en-noun|~}}
freestyle: {{en-noun|~}}
freestyle: {{en-verb}}
freestyler: {{en-noun}}
freethinker: {{en-noun}}
freethinking: {{en-noun|-|s}}
freeway: {{en-noun}}
freewheel: {{en-noun}}
freewheel: {{en-verb}}
freewheeler: {{en-noun}}
freewheeling: {{en-adj}}
freewheeling: {{en-adj}}
freewheelingly: {{en-adv}}
freewill: {{en-adj|-}}
freewriting: {{en-noun|~}}
freeze: {{en-verb|freezes|freezing|froze|frozen|past_ptc2=froze|past_ptc2_qual=now colloquial}}
freeze: {{en-noun}}
freeze: {{en-noun}}
freeze: {{en-verb|freezes|freezing|froze|frozen|past_ptc2=froze|past_ptc2_qual=now colloquial}}
freeze: {{en-noun}}
freeze: {{en-noun}}
freezer: {{en-noun}}
freezing: {{en-adj}}
freezing: {{en-noun|~}}
freezing: {{en-adj}}
freezing: {{en-noun|~}}
freezing: {{en-adj}}
freezing: {{en-noun|~}}
freezingly: {{en-adv}}
freight: {{en-noun|-|s}}
freight: {{en-verb}}
freight: {{en-conj|old=1}}
freight: {{en-adj}}
freight: {{en-noun|-|s}}
freight: {{en-verb}}
freight: {{en-conj|old=1}}
freight: {{en-adj}}
freightage: {{en-noun|~}}
freighted: {{en-adj}}
freighter: {{en-noun}}
fremd: {{en-adj|er|more}}
fremd: {{en-noun}}
fremitus: {{en-noun|?}}
french: {{en-verb}}
french: {{en-verb}}
frenched: {{en-adj}}
frenchified: {{en-adj}}
frenchify: {{en-verb}}
frenetic: {{en-adj}}
frenetic: {{en-noun}}
frenetically: {{en-adv}}
freneticism: {{en-noun|-|s}}
frenulum: {{en-noun|frenula|s}}
frenum: {{en-noun|frena|s}}
frenzied: {{en-adj}}
frenziedly: {{en-adv}}
frenzily: {{en-adv}}
frenzy: {{en-noun|~}}
frenzy: {{en-adj}}
frenzy: {{en-verb}}
frequence: {{en-noun|~}}
frequency: {{en-noun|~}}
frequent: {{en-adj|more|er}}
frequent: {{en-verb}}
frequent: {{en-adj|more|er}}
frequent: {{en-verb}}
frequentation: {{en-noun}}
frequentative: {{en-adj|-}}
frequentative: {{en-noun}}
frequenter: {{en-noun}}
frequenter: {{en-comparative of|frequent}}
frequenter: {{en-noun}}
frequenter: {{en-comparative of|frequent}}
frequentest: {{en-superlative of|frequent}}
frequently: {{en-adv}}
frequentness: {{en-noun|-}}
fresco: {{en-noun|~|s|frescoes}}
fresco: {{en-verb|frescoes|frescoing|frescoed}}
fresco: {{en-noun|~|s|frescoes}}
fresco: {{en-verb|frescoes|frescoing|frescoed}}
frescoed: {{en-adj}}
frescoer: {{en-noun}}
frescoing: {{en-noun}}
fresh: {{en-adj|er}}
fresh: {{en-adv|-}}
fresh: {{en-noun}}
fresh: {{en-verb}}
fresh: {{en-adj|er}}
fresh: {{en-adj|er}}
fresh: {{en-adv|-}}
fresh: {{en-noun}}
fresh: {{en-verb}}
fresh: {{en-adj|er}}
freshen: {{en-verb}}
freshener: {{en-noun|~}}
freshening: {{en-noun}}
fresher: {{en-comparative of|fresh}}
fresher: {{en-noun}}
fresher: {{en-comparative of|fresh}}
fresher: {{en-noun}}
freshest: {{en-superlative of|fresh}}
freshet: {{en-noun}}
freshly: {{en-adv}}
freshman: {{en-noun|freshmen}}
freshman: {{en-noun|freshmen}}
freshness: {{en-noun|-|+}}
freshwater: {{en-adj|-}}
freshwater: {{en-noun|~}}
fresnel: {{en-noun}}
fret: {{en-verb|past2=fret|past3=frate|past_ptc2=fretten|past_ptc2_qual=usually in compounds}}
fret: {{en-noun}}
fret: {{en-noun}}
fret: {{en-verb}}
fret: {{en-noun}}
fret: {{en-verb}}
fret: {{en-noun}}
fret: {{en-noun}}
fret: {{en-noun}}
fret: {{en-verb|past2=fret|past3=frate|past_ptc2=fretten|past_ptc2_qual=usually in compounds}}
fret: {{en-noun}}
fret: {{en-noun}}
fret: {{en-verb}}
fret: {{en-noun}}
fret: {{en-verb}}
fret: {{en-noun}}
fret: {{en-noun}}
fret: {{en-noun}}
fretful: {{en-adj}}
fretfully: {{en-adv}}
fretfulness: {{en-noun|-|+}}
fretless: {{en-adj|-}}
fretless: {{en-noun}}
fretsaw: {{en-noun}}
fretsaw: {{en-verb|past_ptc2=fretsawn}}
fretsome: {{en-adj}}
fretted: {{en-adj|-}}
fretted: {{en-adj|-}}
fretter: {{en-noun}}
fretting: {{en-noun}}
fretty: {{en-adj|-}}
fretty: {{en-adj}}
fretwork: {{en-noun|~}}
friability: {{en-noun|~}}
friable: {{en-adj}}
friar: {{en-noun}}
friarly: {{en-adj}}
friary: {{en-noun}}
friary: {{en-adj}}
fribble: {{en-verb}}
fribble: {{en-adj}}
fribble: {{en-noun}}
fribbler: {{en-noun}}
fricandeau: {{en-noun|s|fricandeaux}}
fricando: {{en-noun|s|fricandoes}}
fricassee: {{en-noun}}
fricassee: {{en-verb}}
fricassee: {{en-noun}}
fricassee: {{en-verb}}
fricative: {{en-noun}}
fricative: {{en-adj}}
fricative: {{en-noun}}
fricative: {{en-adj}}
friction: {{en-noun|-|s}}
frictional: {{en-adj|-}}
frictionally: {{en-adv|-}}
frictionless: {{en-adj|-}}
frictionlessly: {{en-adv|-}}
fridge: {{en-noun}}
fridge: {{en-verb}}
fridge: {{en-verb}}
fried: {{en-adj}}
fried: {{en-adj}}
friedcake: {{en-noun}}
friend: {{en-noun}}
friend: {{en-verb}}
friended: {{en-adj|-}}
friending: {{en-noun|-|s}}
friendless: {{en-adj|-}}
friendlessness: {{en-noun|-}}
friendlier: {{en-comparative of|friendly}}
friendliest: {{en-superlative of|friendly}}
friendlily: {{en-adv}}
friendliness: {{en-noun|-|+}}
friendly: {{en-adj|er|more}}
friendly: {{en-noun}}
friendly: {{en-adv}}
friendship: {{en-noun|~}}
frier: {{en-noun}}
frier: {{en-noun}}
fries: {{en-plural noun|sg=fry}}
fries: {{en-plural noun|sg=fry}}
frieze: {{en-noun|~}}
frieze: {{en-verb}}
frieze: {{en-noun}}
frieze: {{en-verb}}
friezelike: {{en-adj}}
frig: {{en-verb}}
frig: {{en-noun}}
frig: {{en-noun|es}}
frigate: {{en-noun}}
frigging: {{en-noun}}
frigging: {{en-adj|-}}
frigging: {{en-adv|-}}
fright: {{en-noun|~}}
fright: {{en-verb}}
fright: {{en-adj}}
fright: {{en-noun|~}}
fright: {{en-verb}}
fright: {{en-adj}}
frighten: {{en-verb}}
frightened: {{en-adj}}
frightened: {{en-adj}}
frightening: {{en-adj}}
frightening: {{en-adj}}
frightening: {{en-adj}}
frighteningly: {{en-adv}}
frightful: {{en-adj}}
frightful: {{en-adv}}
frightfully: {{en-adv}}
frightfulness: {{en-noun|-|+}}
frigid: {{en-adj|more|er}}
frigidity: {{en-noun|~}}
frigidly: {{en-adv}}
frigidness: {{en-noun|-}}
frigorific: {{en-adj}}
frijol: {{en-noun|frijoles}}
frijole: {{en-noun}}
frill: {{en-noun}}
frill: {{en-verb}}
frill: {{en-verb}}
frilled: {{en-adj}}
friller: {{en-noun}}
frillier: {{en-comparative of|frilly}}
frilliest: {{en-superlative of|frilly}}
frilling: {{en-noun}}
frilly: {{en-adj|er}}
fringe: {{en-noun}}
fringe: {{en-adj|-}}
fringe: {{en-verb}}
fringe: {{en-noun}}
fringe: {{en-adj|-}}
fringe: {{en-verb}}
fringe: {{en-noun}}
fringe: {{en-adj|-}}
fringe: {{en-verb}}
fringed: {{en-adj|-}}
fringed: {{en-adj|-}}
fringier: {{en-comparative of|fringy}}
fringiest: {{en-superlative of|fringy}}
fringing: {{en-noun|~}}
fringing: {{en-adj|-}}
fringy: {{en-adj|er}}
frippery: {{en-noun|~}}
frisette: {{en-noun}}
friseur: {{en-noun}}
frisk: {{en-noun}}
frisk: {{en-verb}}
frisk: {{en-noun}}
frisk: {{en-verb}}
frisker: {{en-noun}}
frisket: {{en-noun}}
friskier: {{en-comparative of|frisky}}
friskiest: {{en-superlative of|frisky}}
friskily: {{en-adv}}
friskiness: {{en-noun|-|+}}
frisking: {{en-noun}}
frisking: {{en-noun}}
frisky: {{en-adj|er}}
frisson: {{en-noun}}
frit: {{en-noun|~}}
frit: {{en-verb}}
frit: {{en-adj}}
frit: {{en-noun}}
frith: {{en-noun|-}}
frith: {{en-verb}}
frith: {{en-noun}}
frith: {{en-noun}}
fritillaria: {{en-noun}}
fritillary: {{en-noun}}
frittata: {{en-noun|frittatas|frittate}}
fritter: {{en-noun}}
fritter: {{en-verb}}
fritter: {{en-noun}}
fritter: {{en-verb}}
fritterer: {{en-noun}}
fritting: {{en-noun|-}}
fritz: {{en-noun|-}}
fritz: {{en-verb}}
frivol: {{en-verb|++|pres_ptc2=frivoling|past2=frivoled}}
frivol: {{en-noun}}
frivoler: {{en-noun}}
frivolity: {{en-noun|~}}
frivoller: {{en-noun}}
frivolous: {{en-adj}}
frivolously: {{en-adv}}
frivolousness: {{en-noun|~}}
friz: {{en-noun|frizzes}}
friz: {{en-verb|++}}
friz: {{en-noun|frizzes}}
friz: {{en-verb|++}}
frizer: {{en-noun}}
frizette: {{en-noun}}
frizz: {{en-verb}}
frizz: {{en-noun|~}}
frizzer: {{en-noun}}
frizzier: {{en-comparative of|frizzy}}
frizziest: {{en-superlative of|frizzy}}
frizzily: {{en-adv}}
frizziness: {{en-noun|-}}
frizzle: {{en-verb}}
frizzle: {{en-noun}}
frizzled: {{en-adj}}
frizzler: {{en-noun}}
frizzlier: {{en-comparative of|frizzly}}
frizzliest: {{en-superlative of|frizzly}}
frizzly: {{en-adj|er}}
frizzy: {{en-adj|er}}
frizzy: {{en-noun}}
fro: {{en-adv|-}}
fro: {{en-prep}}
fro: {{en-noun}}
frock: {{en-noun}}
frock: {{en-verb}}
frock: {{en-noun}}
frock: {{en-noun}}
frock: {{en-verb}}
frock: {{en-noun}}
frocked: {{en-adj|-}}
frocking: {{en-noun|~}}
froe: {{en-noun}}
froe: {{en-noun}}
frog: {{en-noun}}
frog: {{en-verb}}
frog: {{en-noun}}
frog: {{en-verb}}
frog: {{en-verb}}
frogeyed: {{en-adj}}
frogfish: {{en-noun|+|frogfish}}
frogged: {{en-adj|-}}
froggier: {{en-comparative of|froggy}}
froggiest: {{en-superlative of|froggy}}
frogging: {{en-noun|~}}
froggy: {{en-noun}}
froggy: {{en-adj|er|more}}
froghopper: {{en-noun}}
froglike: {{en-adj}}
froglike: {{en-adv|-}}
frogman: {{en-noun|frogmen}}
frogmarch: {{en-verb}}
frogmarch: {{en-noun}}
frolic: {{en-adj}}
frolic: {{en-verb|~s|~king|~ked}}
frolic: {{en-conj-simple|stem=frolick}}
frolic: {{en-noun}}
frolic: {{en-adj}}
frolic: {{en-verb|~s|~king|~ked}}
frolic: {{en-conj-simple|stem=frolick}}
frolic: {{en-noun}}
frolicking: {{en-noun|~}}
frolicky: {{en-adj}}
frolicsome: {{en-adj}}
from: {{en-prep}}
fromage: {{en-noun|~}}
fromenty: {{en-noun|-}}
frond: {{en-noun}}
fronded: {{en-adj}}
frondeur: {{en-noun}}
frondose: {{en-adj}}
frons: {{en-noun|frontes}}
front: {{en-noun|~}}
front: {{en-adj|further}}
front: {{en-verb}}
front: {{en-noun|~}}
front: {{en-adj|further}}
front: {{en-verb}}
front: {{en-noun|~}}
front: {{en-adj|further}}
front: {{en-verb}}
frontage: {{en-noun|~}}
frontal: {{en-adj|-}}
frontal: {{en-noun}}
frontal: {{en-noun}}
frontal: {{en-adj|-}}
frontal: {{en-noun}}
frontal: {{en-noun}}
frontality: {{en-noun|~}}
frontally: {{en-adv}}
frontcourt: {{en-noun}}
fronted: {{en-adj}}
fronter: {{en-comparative of|front}}
fronter: {{en-noun}}
frontier: {{en-noun}}
frontier: {{en-verb}}
frontier: {{en-noun}}
frontier: {{en-verb}}
frontiersman: {{en-noun|frontiersmen}}
fronting: {{en-noun|~}}
frontispiece: {{en-noun}}
frontispiece: {{en-verb}}
frontless: {{en-adj}}
frontlet: {{en-noun}}
frontline: {{en-adj|-}}
frontline: {{en-noun}}
frontogenesis: {{en-noun|frontogeneses}}
frontolysis: {{en-noun|frontolyses}}
fronton: {{en-noun}}
frontward: {{en-adj}}
frontward: {{en-adv}}
frontwards: {{en-adj}}
frontwards: {{en-adv}}
frore: {{en-adj}}
frosh: {{en-noun}}
frosh: {{en-noun|+|frosh}}
frosh: {{en-verb}}
frost: {{en-noun|~}}
frost: {{en-verb}}
frost: {{en-noun|~}}
frost: {{en-verb}}
frostbite: {{en-noun|~}}
frostbite: {{en-verb|frostbites|frostbiting|frostbit|frostbitten}}
frosted: {{en-adj}}
frosted: {{en-noun}}
frosted: {{en-adj}}
frosted: {{en-noun}}
frostier: {{en-comparative of|frosty}}
frostiest: {{en-superlative of|frosty}}
frostily: {{en-adv}}
frostiness: {{en-noun|-}}
frosting: {{en-noun|~}}
frosting: {{en-noun|~}}
frostwork: {{en-noun|~}}
frosty: {{en-adj|er}}
froth: {{en-noun|~}}
froth: {{en-verb}}
froth: {{en-noun|~}}
froth: {{en-verb}}
frothier: {{en-comparative of|frothy}}
frothiest: {{en-superlative of|frothy}}
frothily: {{en-adv}}
frothiness: {{en-noun|-}}
frothing: {{en-noun}}
frothing: {{en-noun}}
frothy: {{en-adj|er}}
frothy: {{en-noun}}
frottage: {{en-verb}}
frottage: {{en-noun|~}}
frotteur: {{en-noun}}
froufrou: {{en-noun}}
froufrou: {{en-adj}}
frounce: {{en-noun}}
frounce: {{en-verb}}
frouziest: {{en-superlative of|frouzy}}
frouzy: {{en-adj}}
frow: {{en-noun}}
frow: {{en-noun}}
frow: {{en-adj}}
frow: {{en-noun}}
froward: {{en-adj}}
froward: {{en-prep}}
frowardly: {{en-adv}}
frowardness: {{en-noun|-|+}}
frown: {{en-noun}}
frown: {{en-verb}}
frown: {{en-noun}}
frown: {{en-verb}}
frowner: {{en-noun}}
frowning: {{en-noun}}
frowning: {{en-noun}}
frowningly: {{en-adv}}
frowsier: {{en-comparative of|frowsy}}
frowsiest: {{en-superlative of|frowsy}}
frowst: {{en-noun}}
frowst: {{en-verb}}
frowstier: {{en-comparative of|frowsty}}
frowstiest: {{en-superlative of|frowsty}}
frowsty: {{en-adj|er}}
frowsy: {{en-adj|er}}
frowzier: {{en-comparative of|frowzy}}
frowziest: {{en-superlative of|frowzy}}
frowzily: {{en-adv}}
frowzy: {{en-adj|er}}
frozen: {{en-adj}}
frozen: {{en-adj}}
frozenly: {{en-adv}}
frozenness: {{en-noun|-}}
fructification: {{en-noun|~}}
fructify: {{en-verb}}
fructose: {{en-noun|~}}
fructuous: {{en-adj}}
frug: {{en-noun}}
frug: {{en-verb}}
frugal: {{en-adj}}
frugality: {{en-noun|~}}
frugally: {{en-adv}}
frugging: {{en-noun|-}}
frugivore: {{en-noun}}
frugivorous: {{en-adj}}
fruit: {{en-noun|~}}
fruit: {{en-verb}}
fruit: {{en-noun|~}}
fruit: {{en-verb}}
fruitage: {{en-noun|~}}
fruitarian: {{en-noun}}
fruitcake: {{en-noun|~}}
fruited: {{en-adj}}
fruiter: {{en-noun}}
fruiterer: {{en-noun}}
fruitful: {{en-adj}}
fruitfuller: {{en-comparative of|fruitful}}
fruitfullest: {{en-superlative of|fruitful}}
fruitfully: {{en-adv}}
fruitfulness: {{en-noun|-|+}}
fruitier: {{en-comparative of|fruity}}
fruitiest: {{en-superlative of|fruity}}
fruitily: {{en-adv}}
fruitiness: {{en-noun|-}}
fruiting: {{en-noun|~}}
fruiting: {{en-noun|~}}
fruition: {{en-noun|~}}
fruition: {{en-noun}}
fruitless: {{en-adj}}
fruitlessly: {{en-adv}}
fruitlessness: {{en-noun|-}}
fruitlet: {{en-noun}}
fruitwood: {{en-noun|~}}
fruity: {{en-adj|er}}
fruity: {{en-noun}}
frumenty: {{en-noun|-|+}}
frump: {{en-noun|~}}
frump: {{en-verb}}
frumpier: {{en-comparative of|frumpy}}
frumpiest: {{en-superlative of|frumpy}}
frumpily: {{en-adv}}
frumpish: {{en-adj}}
frumpy: {{en-adj|er}}
frustrate: {{en-verb}}
frustrate: {{en-adj}}
frustrated: {{en-adj}}
frustrated: {{en-adj}}
frustrating: {{en-adj}}
frustrating: {{en-adj}}
frustrating: {{en-adj}}
frustratingly: {{en-adv}}
frustration: {{en-noun|~}}
frustule: {{en-noun}}
frustum: {{en-noun|s|frusta}}
frutescent: {{en-adj}}
fruticose: {{en-adj}}
fry: {{en-verb}}
fry: {{en-noun}}
fry: {{en-noun|-}}
fry: {{en-noun}}
fry: {{en-verb}}
fry: {{en-noun}}
fry: {{en-noun|-}}
fry: {{en-noun}}
fryer: {{en-noun}}
frying: {{en-noun}}
frying: {{en-noun}}
frypan: {{en-noun}}
ft: {{en-noun|ft}}
fubsier: {{en-comparative of|fubsy}}
fubsiest: {{en-superlative of|fubsy}}
fubsy: {{en-adj|er}}
fuchsia: {{en-noun}}
fuchsia: {{en-adj|-}}
fuchsin: {{en-noun}}
fuchsine: {{en-noun|~}}
fuck: {{en-verb}}
fuck: {{en-conj|old=1}}
fuck: {{en-noun}}
